class,giza_srp_wc,srp_extracted_wc,srp_extracted_freq,giza_eng_wc,eng_dict_wc,giza_srp_count,giza_eng_count,giza_srp_eng_count,giza_srp_orig_diacritics,giza_srp_orig_len,giza_srp_lemm_diacritics,giza_srp_lemm_len,srp_extracted_diacritics,srp_extracted_len,giza_eng_lemm_len,eng_dict_len,giza_srp_orig_diacritics_len_ratio,giza_srp_lemm_diacritics_len_ratio,srp_extracted_diacritics_len_ratio,giza_srp_orig_giza_srp_lemm_len_ratio,giza_srp_orig_srp_extracted_len_ratio,giza_srp_orig_giza_eng_lemm_len_ratio,giza_srp_orig_eng_dict_len_ratio,giza_srp_lemm_srp_extracted_len_ratio,giza_srp_lemm_giza_eng_lemm_len_ratio,giza_srp_lemm_eng_dict_len_ratio,srp_extracted_giza_eng_lemm_len_ratio,srp_extracted_eng_dict_len_ratio
0,2,2,1,1,1,1,1,1,2,14,2,11,2,11,8,8,0.14285714285714285,0.18181818181818182,0.18181818181818182,1.2727272727272727,1.2727272727272727,1.75,1.75,1.0,1.375,1.375,1.375,1.375
1,2,2,18,2,2,11,11,9,0,27,0,21,0,21,21,21,0.0,0.0,0.0,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.0,1.0,1.0,1.0,1.0
1,2,2,53,2,2,18,19,13,1,24,1,27,1,24,21,21,0.041666666666666664,0.037037037037037035,0.041666666666666664,0.8888888888888888,1.0,1.1428571428571428,1.1428571428571428,1.125,1.2857142857142858,1.2857142857142858,1.1428571428571428,1.1428571428571428
0,2,2,3,2,2,4,1,1,1,22,1,22,1,22,18,18,0.045454545454545456,0.045454545454545456,0.045454545454545456,1.0,1.0,1.2222222222222223,1.2222222222222223,1.0,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223
1,2,2,8,2,2,9,34,9,2,17,2,19,2,17,15,15,0.11764705882352941,0.10526315789473684,0.11764705882352941,0.8947368421052632,1.0,1.1333333333333333,1.1333333333333333,1.1176470588235294,1.2666666666666666,1.2666666666666666,1.1333333333333333,1.1333333333333333
0,3,3,1,2,2,2,1,1,1,28,1,23,1,23,13,13,0.03571428571428571,0.043478260869565216,0.043478260869565216,1.2173913043478262,1.2173913043478262,2.1538461538461537,2.1538461538461537,1.0,1.7692307692307692,1.7692307692307692,1.7692307692307692,1.7692307692307692
0,2,2,1,1,1,1,1,1,0,20,0,20,0,20,12,12,0.0,0.0,0.0,1.0,1.0,1.6666666666666667,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667
1,3,3,1,2,2,1,1,1,1,24,1,23,1,23,17,17,0.041666666666666664,0.043478260869565216,0.043478260869565216,1.0434782608695652,1.0434782608695652,1.411764705882353,1.411764705882353,1.0,1.3529411764705883,1.3529411764705883,1.3529411764705883,1.3529411764705883
1,2,2,9,2,2,8,4,4,0,24,0,22,0,19,17,17,0.0,0.0,0.0,1.0909090909090908,1.263157894736842,1.411764705882353,1.411764705882353,1.1578947368421053,1.2941176470588236,1.2941176470588236,1.1176470588235294,1.1176470588235294
0,3,3,1,2,2,4,4,4,1,44,1,41,1,38,16,16,0.022727272727272728,0.024390243902439025,0.02631578947368421,1.0731707317073171,1.1578947368421053,2.75,2.75,1.0789473684210527,2.5625,2.5625,2.375,2.375
